Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:00.011 GMT+0800,142.078,142.063,2.24,1.8
08.10.2022 00:00:00.113 GMT+0800,142.077,142.064,1.2,1.8
08.10.2022 00:00:00.214 GMT+0800,142.077,142.064,1.2,1.8
08.10.2022 00:00:00.315 GMT+0800,142.07500000000002,142.064,1.2,1.2
08.10.2022 00:00:00.417 GMT+0800,142.078,142.064,1.2,1.2
08.10.2022 00:00:00.467 GMT+0800,142.078,142.065,1.34,1.2
08.10.2022 00:00:00.569 GMT+0800,142.077,142.064,1.2,1.8
08.10.2022 00:00:00.670 GMT+0800,142.077,142.066,1.2,1.2
08.10.2022 00:00:00.772 GMT+0800,142.078,142.06799999999998,1.2,1.2
08.10.2022 00:00:01.165 GMT+0800,142.079,142.065,1.2,1.8
08.10.2022 00:00:01.469 GMT+0800,142.079,142.063,1.8,1.2
08.10.2022 00:00:01.624 GMT+0800,142.078,142.064,2.7,1.2
08.10.2022 00:00:02.564 GMT+0800,142.078,142.064,2.4,1.34
08.10.2022 00:00:02.615 GMT+0800,142.076,142.061,2.84,3.07
08.10.2022 00:00:02.716 GMT+0800,142.074,142.061,1.34,2.24
08.10.2022 00:00:02.847 GMT+0800,142.074,142.062,1.34,1.2
08.10.2022 00:00:02.898 GMT+0800,142.074,142.062,1.2,1.2
08.10.2022 00:00:02.999 GMT+0800,142.074,142.063,1.2,1.2
08.10.2022 00:00:03.232 GMT+0800,142.07500000000002,142.061,1.2,1.2
08.10.2022 00:00:03.690 GMT+0800,142.076,142.061,1.34,4.2
08.10.2022 00:00:03.792 GMT+0800,142.078,142.064,1.2,1.2
08.10.2022 00:00:04.053 GMT+0800,142.07500000000002,142.064,1.2,1.2
08.10.2022 00:00:04.205 GMT+0800,142.074,142.064,1.2,1.2
08.10.2022 00:00:04.524 GMT+0800,142.07500000000002,142.063,1.2,1.2
08.10.2022 00:00:04.625 GMT+0800,142.076,142.064,1.2,1.8
08.10.2022 00:00:04.732 GMT+0800,142.076,142.064,1.2,1.8
08.10.2022 00:00:05.114 GMT+0800,142.07500000000002,142.064,1.2,1.94
08.10.2022 00:00:05.215 GMT+0800,142.07,142.062,1.2,1.94
08.10.2022 00:00:05.316 GMT+0800,142.072,142.062,1.2,1.2
08.10.2022 00:00:05.781 GMT+0800,142.072,142.059,1.2,2.84
